Player_name,Level,Role,Metric,Score
Shashank Singh,capped,All Rounder,FIS,30.0
Prince Yadav,Uncapped,Bowler,FIS,89.95832487
Jake Frazer McGurk,capped,Batter,FIS,30.0
Akash Singh,Uncapped,Bowler,FIS,30.0
Harshit Rana,capped,Bowler,FIS,70.35119736
Azmatullah Omarzai,capped,All Rounder,FIS,49.86679472
Yudhvir Singh Charak,Uncapped,Bowler,FIS,30.0
Praveen Dubey,Uncapped,All Rounder,FIS,30.0
Jofra Archer,capped,Bowler,FIS,62.48327916
Glenn Maxwell,capped,Batter,FIS,30.0
Akash Madhwal,Uncapped,Bowler,FIS,30.0
Nuwan Thushara,capped,Bowler,FIS,30.0
Josh Hazlewood,Elite,Bowler,FIS,30.0
Abdul Samad,capped,All Rounder,FIS,55.01121507
Kuldeep Yadav,Elite,Bowler,FIS,56.15815786
Rovman powell,capped,Batter,FIS,30.0
Digvesh Rathi,Uncapped,Bowler,FIS,30.0
Sai Kishore,capped,All Rounder,FIS,69.50706002
William O'Rourke,capped,Bowler,FIS,30.0
Mukesh Choudhary,Uncapped,Bowler,FIS,66.56318488
Madhav Tiwari,Uncapped,All Rounder,FIS,30.0
Sam Curran,capped,All Rounder,FIS,30.0
Varun Chakaravarthy,capped,Bowler,FIS,30.0
Andre Russell,capped,All Rounder,FIS,49.96082632
Kamindu Mendis,capped,All Rounder,FIS,30.0
Ravichandran Ashwin,Elite,All Rounder,FIS,60.70173025
Kulwant Khejroliya,Uncapped,Bowler,FIS,30.0
Pat Cummins,Elite,Bowler,FIS,76.97733707
Yash Thakur,Uncapped,Bowler,FIS,66.15831712
Mohammed Siraj,capped,Bowler,FIS,86.14878092
Arshdeep Singh,Elite,Bowler,FIS,30.0
Hardik Pandya,Elite,All Rounder,FIS,30.0
Wanindu Hasaranga,capped,All Rounder,FIS,62.44473259
Sandeep Sharma,capped,Bowler,FIS,63.769529
Lockie Ferguson,capped,Bowler,FIS,49.90884322
Robin Minz,Uncapped,Wicket Keeper,FIS,30.0
Khaleel Ahmed,capped,Bowler,FIS,75.30553565
Vaibhav Arora,capped,Bowler,FIS,55.49391829
Tushar Deshpande,capped,Bowler,FIS,65.19793733
Shahbaz Ahmed,Uncapped,All Rounder,FIS,30.0
Karn Sharma,capped,Bowler,FIS,64.11964207
Xavier Bartlett,capped,Bowler,FIS,30.0
Harshal Patel,capped,Bowler,FIS,55.19139353
Maheesh Theekshana,capped,Bowler,FIS,55.2675389
Kumar Kartikeya Singh,Uncapped,Bowler,FIS,30.0
Vijaykumar Vyshak,capped,Bowler,FIS,61.98863682
Anukul Roy,Uncapped,All Rounder,FIS,30.0
Yuzvendra Chahal,Elite,Bowler,FIS,64.17469447
Vignesh Puthur,Uncapped,Bowler,FIS,30.0
Manimaran Siddharth,Uncapped,Bowler,FIS,30.0
Matheesha Pathirana,capped,Bowler,FIS,59.78081476
Rashid Khan,Elite,All Rounder,FIS,51.51014561
Gerald Coetzee,capped,Bowler,FIS,30.0
Marcus Stoinis,capped,All Rounder,FIS,30.0
Shardul Thakur,capped,All Rounder,FIS,30.0
Akash Deep,capped,Bowler,FIS,63.49870245
Trent Boult,capped,Bowler,FIS,30.0
Deepak Chahar,capped,Bowler,FIS,49.95607353
Ravi Bishnoi,capped,Bowler,FIS,54.96120469
Deepak Hooda,capped,All Rounder,FIS,49.86865438
Bhuvneshwar Kumar,capped,Bowler,FIS,30.0
Adam Zampa,capped,Bowler,FIS,30.0
Mitchell Starc,Elite,Bowler,FIS,56.81761626
Moeen Ali,capped,All Rounder,FIS,30.0
Donovan Ferreira,capped,Wicket Keeper,FIS,30.0
Ravindra Jadeja,Elite,All Rounder,FIS,30.0
Yash Dayal,capped,Bowler,FIS,60.60575398
Mohit Sharma,capped,Bowler,FIS,74.26367382
Mukesh Kumar,capped,Bowler,FIS,30.0
Avesh Khan,capped,Bowler,FIS,30.0
Manoj Bhandage,Uncapped,All Rounder,FIS,30.0
Nathan Ellis,capped,Bowler,FIS,30.0
Mohammad Shami,capped,Bowler,FIS,49.86679472
Kagiso Rabada,Elite,Bowler,FIS,60.3669418
V Satyanarayana Penmetsa,Uncapped,Bowler,FIS,30.0
Mujeeb Ur Rahman,capped,Bowler,FIS,30.0
Zeeshan Ansari,Uncapped,Bowler,FIS,30.0
Fazalhaq Farooqi,capped,Bowler,FIS,62.44473259
Suyash Sharma,capped,Bowler,FIS,49.86679472
Mayank Yadav,capped,Bowler,FIS,30.0
Kwena Maphaka,capped,Bowler,FIS,30.0
Ishant Sharma,capped,Bowler,FIS,30.0
Liam Livingstone,capped,All Rounder,FIS,30.0
Jamie Overton,capped,Bowler,FIS,49.91072209
Dushmantha Chameera,capped,Bowler,FIS,30.0
Suryansh Shedge,Uncapped,All Rounder,FIS,30.0
Wiaan Mulder,capped,All Rounder,FIS,30.0
Simarjeet Singh,Uncapped,Bowler,FIS,30.0
Rasikh Dar Salam,capped,Bowler,FIS,30.0
Anrich Nortje,capped,Bowler,FIS,30.0
Spencer Johnson,capped,Bowler,FIS,30.0
Kyle Jamieson,capped,Bowler,FIS,30.0
Chetan Sakariya,Uncapped,Bowler,FIS,30.0
Rahul Chahar,capped,Bowler,FIS,30.0
T Natarajan,capped,Bowler,FIS,30.0
Karim Janat,Uncapped,All Rounder,FIS,30.0
Kuldeep Sen,Uncapped,Bowler,FIS,30.0
Vishnu Vinod,capped,Wicket Keeper,FIS,30.0
Nishant Sindhu,capped,All Rounder,FIS,30.0
Swastik Chikara,Uncapped,Batter,FIS,30.0
Shamar Joseph,capped,Bowler,FIS,30.0
Aryan Juyal,Uncapped,Wicket Keeper,FIS,30.0
RS Hangargekar,Uncapped,All Rounder,FIS,30.0
Yuvraj Chaudhary,Uncapped,All Rounder,FIS,30.0
Arshin Kulkarni,Uncapped,All Rounder,FIS,30.0
Himmat Singh,Uncapped,Batter,FIS,30.0
Nandre Burger,capped,Bowler,FIS,30.0
Ashok Sharma,Uncapped,Bowler,FIS,30.0
Swapnil Singh,Uncapped,All Rounder,FIS,30.0
Mahipal Lomror,capped,All Rounder,FIS,30.0
Lhuan-dre Pretorius,Uncapped,Wicket Keeper,FIS,30.0
Kunal Rathore,Uncapped,Wicket Keeper,FIS,30.0
Shreyas Gopal,Uncapped,Bowler,FIS,30.0
Kamlesh Nagarkoti,Uncapped,Bowler,FIS,30.0
Luvnith Sisodia,Uncapped,Wicket Keeper,FIS,30.0
Darshan Nalkande,Uncapped,All Rounder,FIS,30.0
Mayank Markande,Uncapped,Bowler,FIS,30.0
Vansh Bedi,Uncapped,Wicket Keeper,FIS,30.0
Ramakrishna Ghosh,Uncapped,All Rounder,FIS,30.0
Ajay Jadav Mandal,Uncapped,All Rounder,FIS,30.0
Umran Malik,capped,Bowler,FIS,30.0
Tripurana Vijay,Uncapped,All Rounder,FIS,30.0
Dasun Shanaka,capped,All Rounder,FIS,30.0
Mohit Rathee,Uncapped,All Rounder,FIS,30.0
Arjun Tendulkar,capped,All Rounder,FIS,30.0
Lizaad Williams,capped,Bowler,FIS,30.0
Raghu Sharma,Uncapped,Bowler,FIS,30.0
Tim Seifert,capped,Wicket Keeper,FIS,30.0
Andre Siddarth,Uncapped,Batter,FIS,30.0
Reece Topley,capped,Bowler,FIS,30.0
Harnoor Singh,Uncapped,Batter,FIS,30.0
Pyla Avinash,Uncapped,Batter,FIS,30.0
Jonny Bairstow,capped,Wicket Keeper,FIS,30.0
Krishnan Shrijith,Uncapped,Wicket Keeper,FIS,30.0
Abhinandan Singh,Uncapped,Bowler,FIS,30.0
Blessing Muzarabani,Uncapped,Bowler,FIS,30.0
Charith Asalanka,capped,All Rounder,FIS,30.0
Jayant Yadav,Uncapped,All Rounder,FIS,30.0
Raj Bawa,Uncapped,All Rounder,FIS,30.0
Bevon Jacobs,capped,All Rounder,FIS,30.0
Sachin Baby,Uncapped,Batter,FIS,30.0
Musheer Khan,Uncapped,All Rounder,FIS,30.0
Gurnoor Brar,Uncapped,Bowler,FIS,30.0
Manvanth Kumar L,Uncapped,All Rounder,FIS,30.0
Kusal Mendis,capped,Wicket Keeper,FIS,30.0
Aaron Hardie,Uncapped,All Rounder,FIS,30.0
Anuj Rawat,Uncapped,Wicket Keeper,FIS,30.0
Kumar Kushagra,Uncapped,Wicket Keeper,FIS,30.0
Mitchell Owen,capped,All Rounder,FIS,30.0
Manav Suthar,Uncapped,Bowler,FIS,30.0
Vaibhav Suryavanshi,Uncapped,Batter,TCS,99.7647015
Ayush Mhatre,Uncapped,Batter,TCS,97.65961319
Priyansh Arya,Uncapped,Batter,TCS,99.16289677
Urvil Patel,Uncapped,Wicket Keeper,TCS,97.1941744
Abishek Porel,Uncapped,Wicket Keeper,TCS,91.54469209
Aniket Verma,Uncapped,Batter,TCS,86.88692525
Mitchell Marsh,capped,All Rounder,TCS,95.89905563
Dewald Brevis,capped,Batter,TCS,91.28851217
Yashasvi Jaiswal,capped,Batter,TCS,86.74530838
Sai Sudharsan,capped,Batter,TCS,93.02150878
Phil Salt,capped,Wicket Keeper,TCS,89.13167933
Josh Inglis,capped,Wicket Keeper,TCS,78.88224914
Heinrich Klaasen,capped,Wicket Keeper,TCS,82.4365834
Prabhsimran Singh,capped,Wicket Keeper,TCS,92.15189396
Virat Kohli,Elite,Batter,TCS,78.98841454
Ajinkya Rahane,capped,Batter,TCS,84.70411546
Shaik Rasheed,Uncapped,Batter,TCS,83.36864034
Aiden Markram,capped,Batter,TCS,91.51867117
Jacob Bethell,capped,All Rounder,TCS,89.49579944
Surya kumar Yadav,Elite,Batter,TCS,71.3934483
Shubman Gill,Elite,Batter,TCS,78.93523124
Manish Pandey,capped,Batter,TCS,70.81758504
Sameer Rizvi,capped,Batter,TCS,69.72746582
Karun Nair,capped,Batter,TCS,78.76471826
Shubham Dubey,Uncapped,Batter,TCS,60.75043116
Atharva Taide,Uncapped,Batter,TCS,76.84021387
Sanju Samson,capped,Wicket Keeper,TCS,80.23495225
Travis Head,Elite,Batter,TCS,75.97546278
Dhruv Jurel,capped,Wicket Keeper,TCS,68.59762341
Devdutt Padikkal,capped,Batter,TCS,79.52248083
Jitesh Sharma,capped,Wicket Keeper,TCS,58.82739857
Shreyas Iyer,Elite,Batter,TCS,68.27671011
Nehal Wadhera,capped,Batter,TCS,73.47923973
Ryan Rickelton,capped,Wicket Keeper,TCS,76.31390134
Rohit Sharma,Elite,Batter,TCS,69.87631944
Nicholas Pooran,Elite,Wicket Keeper,TCS,74.03498303
Ishan Kishan,capped,Wicket Keeper,TCS,65.08992587
Vipraj Nigam,Uncapped,Bowler,TCS,92.25345877
Devon Conway,capped,Wicket Keeper,TCS,78.26071321
Rajat Patidar,capped,Batter,TCS,79.39701588
Abhishek Sharma,capped,All Rounder,TCS,90.79344753
Faf du Plessis,capped,Batter,TCS,76.70437152
Angkrish Raghuvanshi,capped,Batter,TCS,80.52323746
Tilak Varma,capped,Batter,TCS,75.67213956
Sediqullah Atal,capped,Batter,TCS,74.52143374
Jos Buttler,Elite,Wicket Keeper,TCS,65.57295434
Riyan Parag,capped,All Rounder,TCS,77.8019627
Ruturaj Gaikwad,capped,Batter,TCS,79.02591589
Tristan Stubbs,capped,Wicket Keeper,TCS,58.13436122
Ayush Badoni,capped,All Rounder,TCS,83.4407048
K L Rahul,Elite,Wicket Keeper,TCS,67.77033196
Nitish Rana,capped,Batter,TCS,74.92336852
Will Jacks,capped,All Rounder,TCS,78.862204
Rahmanullah Gurbaz,capped,Wicket Keeper,TCS,72.84120532
Rachin Ravindra,capped,All Rounder,TCS,67.08626147
David Miller,capped,Batter,TCS,58.95865944
Sherfane Rutherford,capped,All Rounder,TCS,75.41076391
Naman Dhir,capped,Batter,TCS,59.50670383
Shimron Hetmyer,capped,Batter,TCS,67.72427924
Tim David,capped,Batter,TCS,58.04933504
Ashutosh Sharma,capped,All Rounder,TCS,65.2513906
Mayank Agarwal,capped,Batter,TCS,57.11689006
Vijay Shankar,capped,All Rounder,TCS,61.00312826
Rinku Singh,capped,Batter,TCS,61.35927346
Rahul Tewatia,capped,All Rounder,TCS,52.41104935
Prasidh Krishna,capped,Bowler,TCS,55.99320028
Shahrukh Khan,capped,All Rounder,TCS,68.69969199
Sunil Narine,Elite,All Rounder,TCS,73.7018419
Corbin Bosch,capped,All Rounder,TCS,77.26139864
Arshad Khan,Uncapped,All Rounder,TCS,66.41010706
Rishabh Pant,Elite,Wicket Keeper,TCS,56.42706817
Shivam Dube,capped,All Rounder,TCS,71.12970889
Jasprit Bumrah,Elite,Bowler,TCS,52.80638831
Harsh Dubey,Uncapped,All Rounder,TCS,61.79427648
Jaydev Unadkat,capped,Bowler,TCS,54.42285459
Marco Jansen,capped,All Rounder,TCS,55.06260169
Venkatesh Iyer,Elite,All Rounder,TCS,65.97909525
Mustafizur Rahman,capped,Bowler,TCS,52.72815164
Eshan Malinga,capped,Bowler,TCS,56.43014542
Rahul Tripathi,capped,Batter,TCS,58.47207748
Quinton de Kock,capped,Wicket Keeper,TCS,62.01168021
Lungisani Ngidi,capped,Bowler,TCS,60.45732327
Ramandeep Singh,capped,All Rounder,TCS,53.71820708
Axar Patel,Elite,All Rounder,TCS,64.71931952
Mathew Breetzke,capped,Wicket Keeper,TCS,57.20319624
Mitchell Santner,capped,All Rounder,TCS,55.33997023
Abhinav Manohar,capped,Batter,TCS,61.67533541
Krunal Pandya,capped,All Rounder,TCS,60.7461713
MS Dhoni,Elite,Wicket Keeper,TCS,53.37030851
Ashwani Kumar,Uncapped,Bowler,TCS,58.88858919
Noor Ahmad,capped,Bowler,TCS,55.7767938
Romario Shepherd,capped,All Rounder,TCS,55.99276138
Nitish Kumar Reddy,capped,All Rounder,TCS,65.18132344
Washington Sundar,capped,All Rounder,TCS,80.66574141
Harpreet Brar,capped,Bowler,TCS,56.69935052
Anshul Kamboj,capped,All Rounder,TCS,53.84314678
Shashank Singh,capped,All Rounder,TCS,58.3793715
Prince Yadav,Uncapped,Bowler,TCS,52.05831942
Jake Frazer McGurk,capped,Batter,TCS,60.85916536
Akash Singh,Uncapped,Bowler,TCS,59.7077068
Harshit Rana,capped,Bowler,TCS,59.46926527
Azmatullah Omarzai,capped,All Rounder,TCS,60.43579127
Yudhvir Singh Charak,Uncapped,Bowler,TCS,55.37425732
Praveen Dubey,Uncapped,All Rounder,TCS,60.04064398
Jofra Archer,capped,Bowler,TCS,62.46532062
Glenn Maxwell,capped,Batter,TCS,62.79252299
Akash Madhwal,Uncapped,Bowler,TCS,56.39058781
Nuwan Thushara,capped,Bowler,TCS,56.94259047
Josh Hazlewood,Elite,Bowler,TCS,53.65332416
Abdul Samad,capped,All Rounder,TCS,58.06538186
Kuldeep Yadav,Elite,Bowler,TCS,54.12906302
Rovman powell,capped,Batter,TCS,56.23568003
Digvesh Rathi,Uncapped,Bowler,TCS,61.48266943
Sai Kishore,capped,All Rounder,TCS,55.50280419
William O'Rourke,capped,Bowler,TCS,57.48850509
Mukesh Choudhary,Uncapped,Bowler,TCS,51.25473602
Madhav Tiwari,Uncapped,All Rounder,TCS,54.79761694
Sam Curran,capped,All Rounder,TCS,72.68567592
Varun Chakaravarthy,capped,Bowler,TCS,53.30397149
Andre Russell,capped,All Rounder,TCS,68.66174734
Kamindu Mendis,capped,All Rounder,TCS,58.41470353
Ravichandran Ashwin,Elite,All Rounder,TCS,55.93442429
Kulwant Khejroliya,Uncapped,Bowler,TCS,54.78991203
Pat Cummins,Elite,Bowler,TCS,54.47854241
Yash Thakur,Uncapped,Bowler,TCS,56.58164388
Mohammed Siraj,capped,Bowler,TCS,52.94349319
Arshdeep Singh,Elite,Bowler,TCS,53.06331623
Hardik Pandya,Elite,All Rounder,TCS,59.39528206
Wanindu Hasaranga,capped,All Rounder,TCS,56.74221131
Sandeep Sharma,capped,Bowler,TCS,52.83390886
Lockie Ferguson,capped,Bowler,TCS,56.18832616
Robin Minz,Uncapped,Wicket Keeper,TCS,53.81043849
Khaleel Ahmed,capped,Bowler,TCS,51.74814461
Vaibhav Arora,capped,Bowler,TCS,54.13621746
Tushar Deshpande,capped,Bowler,TCS,51.99612708
Shahbaz Ahmed,Uncapped,All Rounder,TCS,68.42575908
Karn Sharma,capped,Bowler,TCS,54.00422707
Xavier Bartlett,capped,Bowler,TCS,71.57724095
Harshal Patel,capped,Bowler,TCS,55.85698629
Maheesh Theekshana,capped,Bowler,TCS,54.7963228
Kumar Kartikeya Singh,Uncapped,Bowler,TCS,66.70743279
Vijaykumar Vyshak,capped,Bowler,TCS,50.59574916
Anukul Roy,Uncapped,All Rounder,TCS,57.3522358
Yuzvendra Chahal,Elite,Bowler,TCS,51.63980832
Vignesh Puthur,Uncapped,Bowler,TCS,57.1549388
Manimaran Siddharth,Uncapped,Bowler,TCS,53.59810291
Matheesha Pathirana,capped,Bowler,TCS,51.78771593
Rashid Khan,Elite,All Rounder,TCS,54.33673048
Gerald Coetzee,capped,Bowler,TCS,64.53891192
Marcus Stoinis,capped,All Rounder,TCS,53.35330747
Shardul Thakur,capped,All Rounder,TCS,56.36343728
Akash Deep,capped,Bowler,TCS,51.41899636
Trent Boult,capped,Bowler,TCS,53.40214889
Deepak Chahar,capped,Bowler,TCS,52.21562073
Ravi Bishnoi,capped,Bowler,TCS,55.5366794
Deepak Hooda,capped,All Rounder,TCS,54.56614224
Bhuvneshwar Kumar,capped,Bowler,TCS,56.78955857
Adam Zampa,capped,Bowler,TCS,53.03730017
Mitchell Starc,Elite,Bowler,TCS,52.24337066
Moeen Ali,capped,All Rounder,TCS,55.61566614
Donovan Ferreira,capped,Wicket Keeper,TCS,49.17633456
Ravindra Jadeja,Elite,All Rounder,TCS,58.07033559
Yash Dayal,capped,Bowler,TCS,53.22229231
Mohit Sharma,capped,Bowler,TCS,49.24899038
Mukesh Kumar,capped,Bowler,TCS,53.06655176
Avesh Khan,capped,Bowler,TCS,53.61322993
Manoj Bhandage,Uncapped,All Rounder,TCS,50.01114704
Nathan Ellis,capped,Bowler,TCS,51.1558254
Mohammad Shami,capped,Bowler,TCS,52.16178268
Kagiso Rabada,Elite,Bowler,TCS,50.6423425
V Satyanarayana Penmetsa,Uncapped,Bowler,TCS,51.42816234
Mujeeb Ur Rahman,capped,Bowler,TCS,51.18201935
Zeeshan Ansari,Uncapped,Bowler,TCS,55.78137332
Fazalhaq Farooqi,capped,Bowler,TCS,48.50873126
Suyash Sharma,capped,Bowler,TCS,50.10929333
Mayank Yadav,capped,Bowler,TCS,50.88470545
Kwena Maphaka,capped,Bowler,TCS,50.59802771
Ishant Sharma,capped,Bowler,TCS,50.91900277
Liam Livingstone,capped,All Rounder,TCS,60.72893752
Jamie Overton,capped,Bowler,TCS,49.06012015
Dushmantha Chameera,capped,Bowler,TCS,52.28843705
Suryansh Shedge,Uncapped,All Rounder,TCS,55.68995898
Wiaan Mulder,capped,All Rounder,TCS,57.6053949
Simarjeet Singh,Uncapped,Bowler,TCS,53.80447626
Rasikh Dar Salam,capped,Bowler,TCS,49.88267076
Anrich Nortje,capped,Bowler,TCS,49.26490605
Spencer Johnson,capped,Bowler,TCS,49.1353758
Kyle Jamieson,capped,Bowler,TCS,30.0
Chetan Sakariya,Uncapped,Bowler,TCS,30.0
Rahul Chahar,capped,Bowler,TCS,30.0
T Natarajan,capped,Bowler,TCS,30.0
Karim Janat,Uncapped,All Rounder,TCS,30.0
Kuldeep Sen,Uncapped,Bowler,TCS,30.0
Vishnu Vinod,capped,Wicket Keeper,TCS,30.0
Nishant Sindhu,capped,All Rounder,TCS,30.0
Swastik Chikara,Uncapped,Batter,TCS,30.0
Shamar Joseph,capped,Bowler,TCS,30.0
Aryan Juyal,Uncapped,Wicket Keeper,TCS,30.0
RS Hangargekar,Uncapped,All Rounder,TCS,30.0
Yuvraj Chaudhary,Uncapped,All Rounder,TCS,30.0
Arshin Kulkarni,Uncapped,All Rounder,TCS,30.0
Himmat Singh,Uncapped,Batter,TCS,30.0
Nandre Burger,capped,Bowler,TCS,30.0
Ashok Sharma,Uncapped,Bowler,TCS,30.0
Swapnil Singh,Uncapped,All Rounder,TCS,30.0
Mahipal Lomror,capped,All Rounder,TCS,30.0
Lhuan-dre Pretorius,Uncapped,Wicket Keeper,TCS,30.0
Kunal Rathore,Uncapped,Wicket Keeper,TCS,30.0
Shreyas Gopal,Uncapped,Bowler,TCS,30.0
Kamlesh Nagarkoti,Uncapped,Bowler,TCS,30.0
Luvnith Sisodia,Uncapped,Wicket Keeper,TCS,30.0
Darshan Nalkande,Uncapped,All Rounder,TCS,30.0
Mayank Markande,Uncapped,Bowler,TCS,30.0
Vansh Bedi,Uncapped,Wicket Keeper,TCS,30.0
Ramakrishna Ghosh,Uncapped,All Rounder,TCS,30.0
Ajay Jadav Mandal,Uncapped,All Rounder,TCS,30.0
Umran Malik,capped,Bowler,TCS,30.0
Tripurana Vijay,Uncapped,All Rounder,TCS,30.0
Dasun Shanaka,capped,All Rounder,TCS,30.0
Mohit Rathee,Uncapped,All Rounder,TCS,30.0
Arjun Tendulkar,capped,All Rounder,TCS,30.0
Lizaad Williams,capped,Bowler,TCS,30.0
Raghu Sharma,Uncapped,Bowler,TCS,30.0
Tim Seifert,capped,Wicket Keeper,TCS,30.0
Andre Siddarth,Uncapped,Batter,TCS,30.0
Reece Topley,capped,Bowler,TCS,30.0
Harnoor Singh,Uncapped,Batter,TCS,30.0
Pyla Avinash,Uncapped,Batter,TCS,30.0
Jonny Bairstow,capped,Wicket Keeper,TCS,30.0
Krishnan Shrijith,Uncapped,Wicket Keeper,TCS,30.0
Abhinandan Singh,Uncapped,Bowler,TCS,30.0
Blessing Muzarabani,Uncapped,Bowler,TCS,30.0
Charith Asalanka,capped,All Rounder,TCS,30.0
Jayant Yadav,Uncapped,All Rounder,TCS,30.0
Raj Bawa,Uncapped,All Rounder,TCS,30.0
Bevon Jacobs,capped,All Rounder,TCS,30.0
Sachin Baby,Uncapped,Batter,TCS,30.0
Musheer Khan,Uncapped,All Rounder,TCS,30.0
Gurnoor Brar,Uncapped,Bowler,TCS,30.0
Manvanth Kumar L,Uncapped,All Rounder,TCS,30.0
Kusal Mendis,capped,Wicket Keeper,TCS,30.0
Aaron Hardie,Uncapped,All Rounder,TCS,30.0
Anuj Rawat,Uncapped,Wicket Keeper,TCS,30.0
Kumar Kushagra,Uncapped,Wicket Keeper,TCS,30.0
Mitchell Owen,capped,All Rounder,TCS,30.0
